"bl"	"bmi"	"bodyfat"	"bw"	"cir"	"di"	"fg"	"fg2hr"	"fi"	"hba1c"	"height"	"hip_f"	"hip_m"	"hip"	"hipadjbmi"	"homab"	"homair"	"incr30"	"ins30_bmi"	"isi"	"isibmi"	"leptin"	"proins"	"sat"	"urate"	"vat"	"wc_female"	"wc_male"	"wc"	"wcadjbmi"	"whr_f"	"whr_m"	"whr"	"whradjbmi"
"bl"	1	0.0188393701093211	0.0933137414600226	0.667247413467858	-0.180735613980448	-0.116921394156723	0.0186490815005379	-0.0483173683891196	-0.101674563465021	-0.125908506560292	0.340165322256349	0.15159916365351	-0.00143986733991985	0.0989023615798842	0.138032069107159	-0.0178020615277612	-0.0197314787246268	-0.186074605795175	-0.232876759538791	0.147317450296101	-0.164336073676042	-0.075044259731781	-0.00351868304060662	0.0215327765450028	-0.233706357156327	0.119018448787967	0.070754249248623	0.0740885376675611	0.0780680060022614	0.151583784676691	-0.0470783285878226	0.164658123379056	0.0485230596875256	0.00404617441369412
"bmi"	0.0188393701093211	1	0.737558942026914	0.133962899614383	0.202190578362017	0.207378065834118	-0.191502104219154	-0.434407563658891	0.265494444993232	-0.285881987943249	0.183746592268272	0.845758942943669	0.801786720057984	0.891738411490649	0.258719452596426	0.306002270301845	0.195499470767738	0.158602256194204	0.247195124390655	0.118369374100938	0.00153339939835664	0.452536464169209	-0.0673282064967229	0.132600817743283	0.0628799961295132	-0.124045910419361	0.748966745182842	0.849712585665267	0.890281695334487	0.00486707594654581	0.117733347008048	0.617295560117236	0.398360155415455	-0.238534354398861
"bodyfat"	0.0933137414600226	0.737558942026914	1	0.222647031671899	0.104337426068766	0.161027336244245	-0.18640818784133	-0.441564621541502	0.0493690541377989	-0.300292835292237	0.179824373740209	0.729054223169098	0.654827401943639	0.747071791270592	0.369679195619444	0.208749529860022	0.050235353983291	0.037398264932447	0.120235223479168	0.35356993189786	-0.0251200742194064	0.606399871902144	-0.0131399938642344	0.000721560663534155	-0.0601127471566284	-0.0025192336518437	0.51375749046982	0.760067009587545	0.709468627000669	0.0945503362031993	-0.109712509426229	0.648639052060299	0.24537995794343	-0.235280798898878
"bw"	0.667247413467858	0.133962899614383	0.222647031671899	1	-0.0346534071391244	0.0553555138303524	-0.0651839650097787	-0.231141740545255	-0.178146429273111	-0.148723499818544	0.157351750644377	0.235286651922195	0.0587074382538588	0.171801183291722	0.130362630252687	-0.0158785520012697	-0.103817701926182	-0.108490992679347	-0.0942546107497431	0.084766418879592	-0.0335985724731367	-0.0135926002529955	-0.134676621826738	0.0598981741745468	-0.17163790215453	0.0409006121940151	0.126558869823547	0.164036389607908	0.157089749536097	0.0949192397162647	-0.092113457643254	0.237595645726637	0.0482740565483774	-0.0447515732122366
"cir"	-0.180735613980448	0.202190578362017	0.104337426068766	-0.0346534071391244	1	0.882190114970554	-0.580839145247003	-0.539654483539179	0.348625607888192	-0.519463785671546	-0.0726762246691142	0.173584534009565	0.225990178361651	0.217345323600231	0.19100772383993	0.561776084063588	0.0620290493383537	0.736456777898861	0.881375447273935	-0.15594229951708	0.337357742259418	0.0283635603399932	-0.167193599120049	0.205605940812033	0.0664057235892007	0.00198237721089278	0.0354075821443556	0.152463507900962	0.110558024524417	-0.160713991919336	-0.210007653201955	-0.0870209154554127	-0.201336512788192	-0.324449912859603
"di"	-0.116921394156723	0.207378065834118	0.161027336244245	0.0553555138303524	0.882190114970554	1	-0.6018485295581	-0.488304530984978	0.104857607208844	-0.532736198644	-0.186083810666275	0.168109948521019	0.167510306199877	0.180877572954783	0.114935587372695	0.411640503924606	-0.200007336561097	0.518943566388023	0.694726933749556	0.0135839203367908	0.27008954157619	-0.0292289178306879	-0.232012095519842	0.182987227291609	0.00655765205659686	-0.0842172015207004	-0.0131351153945074	0.120792769987208	0.0660510170510283	-0.268023780410601	-0.285791463615197	-0.0593801412959549	-0.246257807990016	-0.376426439640692
"fg"	0.0186490815005379	-0.191502104219154	-0.18640818784133	-0.0651839650097787	-0.580839145247003	-0.6018485295581	1	0.467966909585049	-0.125158089403939	0.725987745658339	0.143860846168082	-0.138401645773719	-0.128223150584748	-0.140112035365794	-0.0489958073898247	-0.750373472061495	0.202969739114466	-0.409386038431283	-0.52262417823698	0.0837435305998064	-0.371702302056463	0.0564944710173044	0.247247688823997	-0.192528239365325	-0.203464331493937	0.0357513998482971	-0.0536679543826251	-0.165177240376543	-0.120167976673321	0.123924213594585	0.135635312403901	-0.0290837403662443	0.0905440256158038	0.212636090987699
"fg2hr"	-0.0483173683891196	-0.434407563658891	-0.441564621541502	-0.231141740545255	-0.539654483539179	-0.488304530984978	0.467966909585049	1	-0.345452082700431	0.623519968344151	-0.0300160353931558	-0.395109890783021	-0.436088362029054	-0.450674968264556	-0.299225569982386	-0.47884690389827	-0.0847837538236158	-0.344160638093316	-0.486585653072035	-0.180714129062037	-0.237766755035837	-0.298736961351743	0.245818833684831	-0.188406757723339	0.245826217062039	0.0121798442459842	-0.13091759803591	-0.44686786852084	-0.318307032936288	0.151939842463024	0.321491101817048	-0.233401085984988	0.132823160626808	0.431635939700607
"fi"	-0.101674563465021	0.265494444993232	0.0493690541377989	-0.178146429273111	0.348625607888192	0.104857607208844	-0.125158089403939	-0.345452082700431	1	-0.151535036096623	0.129900841898957	0.17991115940405	0.32150750746902	0.270242969803376	0.126793498740712	0.615884894480687	0.789601687585343	0.413219950807083	0.448193875950273	-0.300408849473122	0.369308353462002	0.194557649003385	0.0124638461234488	0.111342864919934	0.0300401083076414	0.16776348531929	0.225962091936999	0.260183456582451	0.267325648466589	0.0439827375756403	0.130133823913752	0.0135083788664236	0.10691017459132	-0.0630838905717672
"hba1c"	-0.125908506560292	-0.285881987943249	-0.300292835292237	-0.148723499818544	-0.519463785671546	-0.532736198644	0.725987745658339	0.623519968344151	-0.151535036096623	1	0.018352363883373	-0.226489508496516	-0.305835157934995	-0.281091901339912	-0.211406427426861	-0.602180578540956	0.0675625971580003	-0.381412357965863	-0.469219872154561	-0.111632233825072	-0.245670876046894	-0.000853082934285602	0.264384090338653	-0.267228302401463	0.0154691359804272	-0.0874845475206272	0.0171542384384502	-0.291533091977579	-0.149098007512178	0.270065716464301	0.353465366594642	-0.0523301192879394	0.249043903945612	0.463840388641556
