run	K	evid
12	3	-4472.872065220026
17	3	-4472.853241210839
28	3	-4472.771746033283
36	4	-4277.6360645755685
90	4	-4277.635454913827
64	4	-4277.634945034239
19	4	-4277.633930640894
67	4	-4277.632743670548
61	4	-4277.631904356755
83	4	-4277.631630793087
55	4	-4277.631039381011
35	4	-4277.6304063823445
24	4	-4277.629672700868
97	4	-4277.628828769575
7	4	-4277.628414610313
89	4	-4277.6263355293195
56	4	-4277.626186352459
11	4	-4277.625693786778
69	4	-4277.625159470662
87	4	-4277.625150951453
49	4	-4277.624510475318
27	4	-4277.6244708170725
77	4	-4277.623560643735
78	4	-4277.623325641116
48	4	-4277.622546310922
38	4	-4277.621601550176
30	4	-4277.621555338159
37	4	-4277.620392544481
34	4	-4277.620026820865
85	4	-4277.619128750326
91	4	-4277.618854820257
99	4	-4277.6183926375525
52	4	-4277.618222460904
10	4	-4277.616600920495
81	4	-4277.615557256931
50	4	-4277.614515570114
76	4	-4277.613658066335
4	4	-4277.613469335843
9	4	-4277.612778135252
72	4	-4277.612609294978
33	4	-4277.610672279639
92	4	-4277.610618392756
46	4	-4277.610378997635
47	4	-4277.610097043036
22	4	-4277.609702890851
18	4	-4277.609599381751
79	4	-4277.608057964364
41	4	-4277.605062935991
29	4	-4277.604608118233
57	4	-4277.604101626757
86	4	-4277.591817332292
84	4	-4277.5914137078
14	4	-4277.587803599961
44	4	-4277.585532734046
80	4	-4277.585144800226
53	4	-4277.583647674523
59	4	-4277.5831220920945
70	4	-4277.580529508772
93	4	-4277.573028007649
13	4	-4277.567159325305
45	4	-4277.5538201933305
43	4	-4277.327797311241
96	4	-4276.9136022739895
1	4	-4274.292335849434
15	4	-4181.41114484326
94	4	-4181.403239296338
54	4	-4181.3881465946915
40	4	-4181.358306467697
8	4	-4181.3576142133625
32	4	-4181.134848536383
21	4	-4181.108900764475
58	4	-4181.012707273498
66	4	-4180.746939368888
82	5	-3969.382137034166
39	5	-3969.3794448608983
73	5	-3969.3766007175013
3	5	-3969.3760362846756
51	5	-3969.375677551246
23	5	-3969.374784328262
63	5	-3969.373614204698
88	5	-3969.3732147769633
74	5	-3969.3698564317356
5	5	-3969.3670909441234
95	5	-3969.3662894054223
16	5	-3969.364261210861
20	5	-3969.3617573417177
6	5	-3969.3532923758385
25	5	-3969.349550914202
75	5	-3969.3388855845747
42	5	-3969.3234961403195
62	5	-3969.313603840172
100	5	-3969.2942265279107
31	5	-3969.2790449448535
98	5	-3969.2630156355985
68	5	-3969.2256442017683
2	5	-3969.218813356801
60	5	-3969.0847346688015
65	5	-3969.0107990578767
71	5	-3968.8624818155463
26	5	-3968.08361327105
