run	K	evid
48	2	-5143.974689851841
92	2	-5143.974479229073
73	2	-5143.965978921809
45	3	-5068.293032249256
14	3	-5068.293026602522
85	3	-5068.29294022053
72	3	-5068.292926197189
80	3	-5068.2929085898
2	3	-5068.292904721479
83	3	-5068.292883404223
60	3	-5068.292850876691
62	3	-5068.292828604757
33	3	-5068.292812227737
25	3	-5068.292802970438
15	3	-5068.29279952847
6	3	-5068.2927706113915
57	3	-5068.292712341701
95	3	-5068.292700896057
69	3	-5068.292694490252
51	3	-5068.2926943035045
30	3	-5068.292674184004
7	3	-5068.292673294037
13	3	-5068.292668736054
52	3	-5068.292666934788
56	3	-5068.292657856186
3	3	-5068.292630872136
64	3	-5068.292620982607
5	3	-5068.292618045542
75	3	-5068.292603341619
53	3	-5068.292552721432
74	3	-5068.29253712458
93	3	-5068.292522187088
20	3	-5068.292491153859
10	3	-5068.292483216746
43	3	-5068.292445366527
44	3	-5068.292442794167
39	3	-5068.292373164727
9	3	-5068.292370339326
12	3	-5068.292359189336
86	3	-5068.292338581059
19	3	-5068.292188046641
77	3	-5068.292029315382
100	3	-5068.291589910252
71	3	-5068.291488443356
21	3	-5068.291483952411
54	3	-5068.29104364004
58	3	-5068.289917684471
28	3	-5068.289770948348
38	3	-5068.288003456134
34	3	-5068.283903708586
47	3	-5068.283203578107
46	3	-5068.280958662508
11	3	-5068.279111230582
78	3	-5068.278204179842
40	3	-5068.275129347796
23	3	-5068.274877222388
99	3	-5068.274842321907
94	3	-5068.270955429497
37	3	-5068.261385398454
97	3	-5068.260929056687
36	3	-5068.252426369492
31	3	-5068.247465658322
81	3	-5068.246596202842
70	3	-5068.245393092755
55	3	-5068.241021121801
50	3	-5068.238189647072
32	3	-5068.236780564518
49	3	-5068.229282354879
90	3	-5068.222858339628
59	3	-5068.2181360733
16	3	-5068.21690243348
63	3	-5068.188848537542
27	3	-5068.181681015422
29	3	-5068.1645833401835
98	3	-5068.150185224932
18	3	-5068.134145741095
91	3	-5068.128895352002
1	3	-5068.001566488074
66	3	-5067.822536925183
67	3	-5067.7642147479055
17	3	-5067.758118299058
68	3	-5067.742602576627
82	3	-5067.725352156653
22	3	-5067.582043468738
96	3	-5067.576988912479
24	3	-5067.57422513732
65	3	-5067.464877366728
41	3	-5067.3471792947585
84	3	-5067.329434170319
42	3	-5067.326631101304
26	3	-5067.324095783009
76	3	-5067.323996026305
79	3	-5067.323894344088
61	3	-5067.323208127718
4	3	-5067.323021519282
35	3	-5067.321539602584
88	3	-5067.3180987230935
87	3	-5067.30030107604
89	3	-5066.173613924746
8	4	-4709.612031008027
